,id,price,builtArea,pricePerBuiltSqm,stratum,administrationFee,floor,isDuplex,privateArea,rooms,toilets,parkingSpaces,hasServiceRoom,hasServiceToilet,hasLaundryZone,hasDeposit,hasStudy,isExterior,hasTerrace,terraceArea,hasCommunalHall,hasTennisCourt,hasSoccerField,hasKidsPlayZone,hasGreenZones,isResidentialComplex,hasConcierge,hasVisitorParking,hasPool,long,lat,geometry
4713,8006bd78-7d21-4284-9ad3-dd0e777911ec,170000000,55.0,3090909.090909091,4.0,2718437.97185619,2.0,False,55.0,3,2,1.6517575616022422,False,False,True,False,False,False,False,28.139204545454547,False,False,False,False,False,False,False,False,False,-75.60821,6.205422,POINT (-75.60821 6.205422)
4714,800e92d6-93ff-448b-abef-ff20857bbf94,235000000,58.0,4051724.1379310335,4.0,166500.0,5.0,False,58.0,2,2,1.0,False,False,True,True,False,True,False,28.139204545454547,True,False,False,True,True,True,True,False,False,-75.59157,6.230379,POINT (-75.59157 6.230379)
4715,8011c156-1aec-4aed-ad46-7300835bb9b6,1670000000,276.0,6050724.637681159,6.0,900000.0,7.125251846877099,False,276.0,3,4,4.0,True,False,True,False,True,True,False,28.139204545454547,True,False,False,True,True,True,True,False,True,-75.55692,6.193325,POINT (-75.55692 6.193325)
4716,801a3bf8-dd50-4a6b-8536-6520ea10b0c1,1300000000,270.0,4814814.814814814,5.0,2718437.97185619,7.125251846877099,False,270.0,3,4,3.0,False,False,True,False,True,False,False,28.139204545454547,False,False,False,False,True,True,True,False,True,-75.57133,6.2059326,POINT (-75.57133 6.2059326)
4717,801c6d3e-8b89-439d-b877-994735cc1056,1300000000,310.0,4193548.3870967743,6.0,2718437.97185619,7.125251846877099,False,310.0,4,4,2.0,False,False,True,False,False,False,False,28.139204545454547,True,False,False,True,True,False,True,False,False,-75.55785,6.2096686,POINT (-75.55785 6.2096686)
4718,802917e8-8496-4738-8d81-3d6a35948657,205000000,66.0,3106060.606060606,5.0,2718437.97185619,2.0,False,66.0,3,2,1.6517575616022422,False,False,True,False,False,False,False,28.139204545454547,False,False,False,False,False,False,False,False,False,-75.59354,6.269441,POINT (-75.59354 6.269441)
4719,802c811f-22c9-4304-b51a-acda6362bdbb,170000000,72.0,2361111.111111111,3.0,2718437.97185619,7.125251846877099,False,72.0,2,1,1.6517575616022422,False,False,True,False,False,False,False,28.139204545454547,False,False,False,False,False,False,False,False,False,-75.61751,6.2590775,POINT (-75.61751 6.2590775)
4720,8031dff5-18af-40e3-915e-8b6f183b94b4,360000000,68.0,5294117.647058823,4.0,2718437.97185619,5.0,False,68.0,2,3,1.0,False,False,True,True,False,True,False,28.139204545454547,False,False,False,False,False,False,False,False,False,-75.59307,6.2639484,POINT (-75.59307 6.2639484)
4721,803245eb-a017-4b0d-8dfb-1b436457c57c,1100000000,290.0,3793103.4482758623,6.0,2718437.97185619,7.125251846877099,False,290.0,4,5,2.0,True,False,True,False,True,False,False,28.139204545454547,True,False,False,True,True,False,True,False,True,-75.568695,6.184467,POINT (-75.568695 6.184467)
4722,8034d740-e11f-4999-b5f6-09430aaef6dd,440000000,80.0,5500000.0,4.0,290000.0,6.0,False,80.0,3,2,1.0,False,False,True,False,False,False,False,28.139204545454547,False,False,False,False,True,False,False,False,False,-75.59161,6.238679,POINT (-75.59161 6.238679)
4723,8035312e-d80a-49ca-9c8d-1e30827414d4,420000000,90.0,4666666.666666667,5.0,2718437.97185619,3.0,False,90.0,2,2,1.0,False,False,False,False,True,False,True,28.139204545454547,False,False,False,False,False,False,False,False,False,-75.59105,6.2350063,POINT (-75.59105 6.2350063)
4724,803af7af-678a-412c-8633-93efc88d4b71,236000000,55.0,4290909.090909091,4.0,2718437.97185619,11.0,False,55.0,2,2,1.0,False,False,False,False,True,False,False,28.139204545454547,True,False,False,True,True,True,True,True,True,-75.60398,6.2685366,POINT (-75.60398 6.2685366)
